Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                4096,      2.50,      2.52,      2.52,      2.54,      2.54,      2.52,      2.51,      2.49,      2.48,      2.46,      2.45,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,
                8192,      2.49,      2.50,      2.50,      2.51,      2.51,      2.50,      2.49,      2.48,      2.48,      2.47,      2.46,      2.44,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,
               16384,      2.48,      2.49,      2.49,      2.49,      2.49,      2.49,      2.48,      2.48,      2.48,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,      2.42,      2.42,      2.42,
               32768,      2.48,      2.48,      2.49,      2.49,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,      2.42,      2.42,
               65536,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,      2.42,
              131072,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,
              262144,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.46,      2.46,      2.45,      2.44,      2.43,
              524288,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,
             1048576,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,

Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,     97.00,     11.27,      7.92,      6.02,      4.45,      3.15,      2.73,      2.52,      2.48,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  16,     10.12,      7.65,      6.65,      5.64,      4.43,      3.20,      2.78,      2.55,      2.49,      2.46,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  32,      7.02,      6.38,      6.00,      5.34,      4.37,      3.26,      2.82,      2.58,      2.50,      2.46,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  64,      4.15,      4.56,      4.56,      4.44,      3.95,      3.07,      2.74,      2.52,      2.47,      2.45,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 128,      3.32,      3.62,      3.73,      3.79,      3.56,      2.97,      2.71,      2.52,      2.47,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 256,      2.89,      3.08,      3.18,      3.24,      3.20,      2.84,      2.67,      2.51,      2.48,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 512,      2.68,      2.78,      2.84,      2.89,      2.90,      2.71,      2.62,      2.50,      2.48,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                1024,      2.57,      2.63,      2.66,      2.70,      2.71,      2.61,      2.57,      2.50,      2.48,      2.45,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                2048,      2.53,      2.56,      2.57,      2.60,      2.60,      2.56,      2.53,      2.49,      2.48,      2.46,      2.44,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,
